"Arma";"Calibre";"nome da munição";"dano(alcance)"
"UZI";"9x19mm";"AP6.3";"46(33) | 32(36)"
"UZI";"9x19mm";"Dum-Dum";"74(33) | 52(36)"
"UZI";"9x19mm";"PSO";"54(33) | 38(36)"
"UZI";"9x19mm";"Pst";"50(33) | 35(36)"
"Vector 45";".45";"AP";"43(37) | 30(40)"
"Vector 45";".45";"APWC";"43(37) | 30(40)"
"Vector 45";".45";"FMJ";"49(37) | 34(40)"
"Vector 45";".45";"HS";"53(37) | 37(40)"
"Vector 9";"9x19mm";"7N31";"44(41) | 31(44)"
"Vector 9";"9x19mm";"AP6.3";"46(41) | 32(44)"
"Vector 9";"9x19mm";"Dum-Dum";"74(41) | 52(44)"
"Vector 9";"9x19mm";"PSO";"54(41) | 38(44)"
"Vector 9";"9x19mm";"Pst";"50(41) | 35(44)"
"VSS";"9x39mm";"7N12";"50(42) | 35(45)"
"VSS";"9x39mm";"7N9";"56(42) | 39(45)"
"VSS";"9x39mm";"SP5";"64(42) | 45(45)"
"VSS";"9x39mm";"SP6";"53(42) | 37(45)"
"ZC807";"7.62x39mm";"AP";"46(56) | 32(59)"
"ZC807";"7.62x39mm";"HP";"79(56) | 55(59)"
"ZC807";"7.62x39mm";"LP";"61(56) | 43(59)"
"ZC807";"7.62x39mm";"PB";"56(56) | 39(59)"
"ZC807";"7.62x39mm";"PS";"56(56) | 39(59)"
"ZC807";"7.62x39mm";"T45M";"61(56) | 43(59)"
"ZC807";"7.62x39mm";"US";"56(56) | 39(59)"
